CA_name,PTYPE2011,bldg_assmt_11_psf
                                        ,2-6 UNIT,7.420194583223771
                                        ,7+ UNIT,inf
                                        ,COMM/IND,inf
                                        ,CONDO,inf
                                        ,NON PROFIT,inf
                                        ,SINGLE FAMILY,15.063588850174217
                                        ,TOWN HOUSE,13.256617828747512
                                        ,VACANT LAND,15.56953642384106
Albany Park                             ,2-6 UNIT,11.664281759249004
Albany Park                             ,7+ UNIT,inf
Albany Park                             ,COMM/IND,inf
Albany Park                             ,CONDO,inf
Albany Park                             ,NON PROFIT,inf
Albany Park                             ,SINGLE FAMILY,20.35784512710385
Albany Park                             ,TOWN HOUSE,18.680297397769518
Albany Park                             ,VACANT LAND,21.82905982905983
Archer Heights                          ,2-6 UNIT,11.212744738205897
Archer Heights                          ,7+ UNIT,inf
Archer Heights                          ,COMM/IND,inf
Archer Heights                          ,CONDO,inf
Archer Heights                          ,NON PROFIT,inf
Archer Heights                          ,SINGLE FAMILY,14.975099601593625
Archer Heights                          ,VACANT LAND,
Armour Square                           ,2-6 UNIT,7.98006379585327
Armour Square                           ,7+ UNIT,inf
Armour Square                           ,COMM/IND,inf
Armour Square                           ,CONDO,inf
Armour Square                           ,NON PROFIT,inf
Armour Square                           ,SINGLE FAMILY,13.13858148363622
Armour Square                           ,TOWN HOUSE,17.86979865771812
Armour Square                           ,VACANT LAND,inf
Ashburn                                 ,2-6 UNIT,6.787949692892659
Ashburn                                 ,7+ UNIT,inf
Ashburn                                 ,COMM/IND,inf
Ashburn                                 ,CONDO,inf
Ashburn                                 ,NON PROFIT,inf
Ashburn                                 ,SINGLE FAMILY,11.839449541284404
Ashburn                                 ,TOWN HOUSE,4.961081794195251
Ashburn                                 ,VACANT LAND,inf
Auburn Gresham                          ,2-6 UNIT,5.36276758409786
Auburn Gresham                          ,7+ UNIT,inf
Auburn Gresham                          ,COMM/IND,inf
Auburn Gresham                          ,CONDO,inf
Auburn Gresham                          ,NON PROFIT,inf
Auburn Gresham                          ,SINGLE FAMILY,7.951086956521739
Auburn Gresham                          ,TOWN HOUSE,7.336978131212724
Auburn Gresham                          ,VACANT LAND,
Austin                                  ,2-6 UNIT,6.210372386975917
Austin                                  ,7+ UNIT,inf
Austin                                  ,COMM/IND,inf
Austin                                  ,CONDO,inf
Austin                                  ,NON PROFIT,inf
Austin                                  ,SINGLE FAMILY,9.510665566332095
Austin                                  ,TOWN HOUSE,5.8549646849813675
Austin                                  ,VACANT LAND,inf
Avalon Park                             ,2-6 UNIT,5.584703732706865
Avalon Park                             ,7+ UNIT,inf
Avalon Park                             ,COMM/IND,inf
Avalon Park                             ,CONDO,inf
Avalon Park                             ,SINGLE FAMILY,8.767826548235874
Avalon Park                             ,TOWN HOUSE,7.098214285714286
Avalon Park                             ,VACANT LAND,inf
Avondale                                ,2-6 UNIT,12.99195168677922
Avondale                                ,7+ UNIT,inf
Avondale                                ,COMM/IND,inf
Avondale                                ,CONDO,inf
Avondale                                ,NON PROFIT,inf
Avondale                                ,SINGLE FAMILY,20.09011164274322
Avondale                                ,TOWN HOUSE,20.68103034959218
Avondale                                ,VACANT LAND,inf
Belmont Cragin                          ,2-6 UNIT,11.430141287284144
Belmont Cragin                          ,7+ UNIT,inf
Belmont Cragin                          ,COMM/IND,inf
Belmont Cragin                          ,CONDO,inf
Belmont Cragin                          ,NON PROFIT,inf
Belmont Cragin                          ,SINGLE FAMILY,17.168447265172716
Belmont Cragin                          ,TOWN HOUSE,19.43
Belmont Cragin                          ,VACANT LAND,inf
Beverly                                 ,2-6 UNIT,9.179981158737636
Beverly                                 ,7+ UNIT,inf
Beverly                                 ,COMM/IND,inf
Beverly                                 ,CONDO,inf
Beverly                                 ,NON PROFIT,inf
Beverly                                 ,SINGLE FAMILY,13.239737274220033
Beverly                                 ,TOWN HOUSE,14.084415584415584
Beverly                                 ,VACANT LAND,
Bridgeport                              ,2-6 UNIT,7.885
Bridgeport                              ,7+ UNIT,inf
Bridgeport                              ,COMM/IND,inf
Bridgeport                              ,CONDO,inf
Bridgeport                              ,NON PROFIT,inf
Bridgeport                              ,SINGLE FAMILY,13.079591836734695
Bridgeport                              ,TOWN HOUSE,16.27932098765432
Bridgeport                              ,VACANT LAND,16.017683342420938
Brighton Park                           ,2-6 UNIT,9.612266518226697
Brighton Park                           ,7+ UNIT,inf
Brighton Park                           ,COMM/IND,inf
Brighton Park                           ,CONDO,inf
Brighton Park                           ,NON PROFIT,inf
Brighton Park                           ,SINGLE FAMILY,14.459669582118561
Brighton Park                           ,TOWN HOUSE,12.109902690326274
Brighton Park                           ,VACANT LAND,18.876061120543294
Burnside                                ,2-6 UNIT,6.139061428767311
Burnside                                ,7+ UNIT,inf
Burnside                                ,COMM/IND,inf
Burnside                                ,SINGLE FAMILY,8.006027933613838
Burnside                                ,TOWN HOUSE,5.603448275862069
Burnside                                ,VACANT LAND,
Calumet Heights                         ,2-6 UNIT,5.291572610985703
Calumet Heights                         ,7+ UNIT,inf
Calumet Heights                         ,COMM/IND,inf
Calumet Heights                         ,CONDO,inf
Calumet Heights                         ,NON PROFIT,inf
Calumet Heights                         ,SINGLE FAMILY,9.419012141848409
Calumet Heights                         ,TOWN HOUSE,5.804755043227665
Calumet Heights                         ,VACANT LAND,inf
Chatham                                 ,2-6 UNIT,5.199018977477695
Chatham                                 ,7+ UNIT,inf
Chatham                                 ,COMM/IND,inf
Chatham                                 ,CONDO,inf
Chatham                                 ,SINGLE FAMILY,8.93587054856485
Chatham                                 ,TOWN HOUSE,7.139121338912134
Chatham                                 ,VACANT LAND,
Chicago Lawn                            ,2-6 UNIT,6.888356162516898
Chicago Lawn                            ,7+ UNIT,inf
Chicago Lawn                            ,COMM/IND,inf
Chicago Lawn                            ,CONDO,inf
Chicago Lawn                            ,SINGLE FAMILY,9.544374066689713
Chicago Lawn                            ,TOWN HOUSE,5.663202247191011
Chicago Lawn                            ,VACANT LAND,
Clearing                                ,2-6 UNIT,10.146518459268249
Clearing                                ,7+ UNIT,inf
Clearing                                ,COMM/IND,inf
Clearing                                ,CONDO,inf
Clearing                                ,NON PROFIT,inf
Clearing                                ,SINGLE FAMILY,17.4453281507866
Clearing                                ,TOWN HOUSE,13.982735274204469
Clearing                                ,VACANT LAND,
Douglas                                 ,2-6 UNIT,8.880434782608695
Douglas                                 ,7+ UNIT,inf
Douglas                                 ,COMM/IND,inf
Douglas                                 ,CONDO,inf
Douglas                                 ,SINGLE FAMILY,9.819757023794601
Douglas                                 ,TOWN HOUSE,13.517714285714286
Douglas                                 ,VACANT LAND,inf
Dunning                                 ,2-6 UNIT,12.763374485596708
Dunning                                 ,7+ UNIT,inf
Dunning                                 ,COMM/IND,inf
Dunning                                 ,CONDO,inf
Dunning                                 ,NON PROFIT,inf
Dunning                                 ,SINGLE FAMILY,18.549407114624508
Dunning                                 ,TOWN HOUSE,15.567235494880546
Dunning                                 ,VACANT LAND,13.629340027328974
East Garfield                           ,2-6 UNIT,6.577646908297581
East Garfield                           ,7+ UNIT,inf
East Garfield                           ,COMM/IND,inf
East Garfield                           ,CONDO,inf
East Garfield                           ,SINGLE FAMILY,8.49316037735849
East Garfield                           ,TOWN HOUSE,13.11626984126984
East Garfield                           ,VACANT LAND,inf
East Side                               ,2-6 UNIT,5.419562208624709
East Side                               ,7+ UNIT,inf
East Side                               ,COMM/IND,inf
East Side                               ,SINGLE FAMILY,10.552722558340536
East Side                               ,TOWN HOUSE,8.04408989601268
East Side                               ,VACANT LAND,inf
Edgewater                               ,2-6 UNIT,11.657575506510103
Edgewater                               ,7+ UNIT,inf
Edgewater                               ,COMM/IND,inf
Edgewater                               ,CONDO,inf
Edgewater                               ,NON PROFIT,inf
Edgewater                               ,SINGLE FAMILY,19.57365730866048
Edgewater                               ,TOWN HOUSE,11.77741935483871
Edgewater                               ,VACANT LAND,
Edison Park                             ,2-6 UNIT,11.942774005819592
Edison Park                             ,7+ UNIT,inf
Edison Park                             ,COMM/IND,inf
Edison Park                             ,CONDO,inf
Edison Park                             ,SINGLE FAMILY,20.099868015838098
Edison Park                             ,TOWN HOUSE,20.29513888888889
Edison Park                             ,VACANT LAND,
Englewood                               ,2-6 UNIT,5.533556224991251
Englewood                               ,7+ UNIT,inf
Englewood                               ,COMM/IND,inf
Englewood                               ,CONDO,inf
