CA_name,PTYPE2011,sqft_bldg_11
                                        ,2-6 UNIT,3744.0
                                        ,7+ UNIT,0.0
                                        ,COMM/IND,0.0
                                        ,CONDO,0.0
                                        ,NON PROFIT,0.0
                                        ,SINGLE FAMILY,2589.0
                                        ,TOWN HOUSE,1882.0
                                        ,VACANT LAND,0.0
Albany Park                             ,2-6 UNIT,2597.0
Albany Park                             ,7+ UNIT,0.0
Albany Park                             ,COMM/IND,0.0
Albany Park                             ,CONDO,0.0
Albany Park                             ,NON PROFIT,0.0
Albany Park                             ,SINGLE FAMILY,1275.0
Albany Park                             ,TOWN HOUSE,1076.0
Albany Park                             ,VACANT LAND,0.0
Archer Heights                          ,2-6 UNIT,2338.0
Archer Heights                          ,7+ UNIT,0.0
Archer Heights                          ,COMM/IND,0.0
Archer Heights                          ,CONDO,0.0
Archer Heights                          ,NON PROFIT,0.0
Archer Heights                          ,SINGLE FAMILY,1100.0
Archer Heights                          ,VACANT LAND,0.0
Armour Square                           ,2-6 UNIT,2657.0
Armour Square                           ,7+ UNIT,0.0
Armour Square                           ,COMM/IND,0.0
Armour Square                           ,CONDO,0.0
Armour Square                           ,NON PROFIT,0.0
Armour Square                           ,SINGLE FAMILY,1752.5
Armour Square                           ,TOWN HOUSE,1493.0
Armour Square                           ,VACANT LAND,0.0
Ashburn                                 ,2-6 UNIT,2923.0
Ashburn                                 ,7+ UNIT,0.0
Ashburn                                 ,COMM/IND,0.0
Ashburn                                 ,CONDO,0.0
Ashburn                                 ,NON PROFIT,0.0
Ashburn                                 ,SINGLE FAMILY,1097.0
Ashburn                                 ,TOWN HOUSE,1516.0
Ashburn                                 ,VACANT LAND,0.0
Auburn Gresham                          ,2-6 UNIT,2744.0
Auburn Gresham                          ,7+ UNIT,0.0
Auburn Gresham                          ,COMM/IND,0.0
Auburn Gresham                          ,CONDO,0.0
Auburn Gresham                          ,NON PROFIT,0.0
Auburn Gresham                          ,SINGLE FAMILY,1175.0
Auburn Gresham                          ,TOWN HOUSE,1008.0
Auburn Gresham                          ,VACANT LAND,0.0
Austin                                  ,2-6 UNIT,2421.5
Austin                                  ,7+ UNIT,0.0
Austin                                  ,COMM/IND,0.0
Austin                                  ,CONDO,0.0
Austin                                  ,NON PROFIT,0.0
Austin                                  ,SINGLE FAMILY,1283.0
Austin                                  ,TOWN HOUSE,1058.0
Austin                                  ,VACANT LAND,0.0
Avalon Park                             ,2-6 UNIT,2898.0
Avalon Park                             ,7+ UNIT,0.0
Avalon Park                             ,COMM/IND,0.0
Avalon Park                             ,CONDO,0.0
Avalon Park                             ,SINGLE FAMILY,1141.0
Avalon Park                             ,TOWN HOUSE,1008.0
Avalon Park                             ,VACANT LAND,0.0
Avondale                                ,2-6 UNIT,2232.0
Avondale                                ,7+ UNIT,0.0
Avondale                                ,COMM/IND,0.0
Avondale                                ,CONDO,0.0
Avondale                                ,NON PROFIT,0.0
Avondale                                ,SINGLE FAMILY,1155.0
Avondale                                ,TOWN HOUSE,1565.0
Avondale                                ,VACANT LAND,0.0
Belmont Cragin                          ,2-6 UNIT,2310.0
Belmont Cragin                          ,7+ UNIT,0.0
Belmont Cragin                          ,COMM/IND,0.0
Belmont Cragin                          ,CONDO,0.0
Belmont Cragin                          ,NON PROFIT,0.0
Belmont Cragin                          ,SINGLE FAMILY,1150.0
Belmont Cragin                          ,TOWN HOUSE,1200.0
Belmont Cragin                          ,VACANT LAND,0.0
Beverly                                 ,2-6 UNIT,3141.0
Beverly                                 ,7+ UNIT,0.0
Beverly                                 ,COMM/IND,0.0
Beverly                                 ,CONDO,0.0
Beverly                                 ,NON PROFIT,0.0
Beverly                                 ,SINGLE FAMILY,1600.0
Beverly                                 ,TOWN HOUSE,1232.0
Beverly                                 ,VACANT LAND,0.0
Bridgeport                              ,2-6 UNIT,2400.0
Bridgeport                              ,7+ UNIT,0.0
Bridgeport                              ,COMM/IND,0.0
Bridgeport                              ,CONDO,0.0
Bridgeport                              ,NON PROFIT,0.0
Bridgeport                              ,SINGLE FAMILY,1209.0
Bridgeport                              ,TOWN HOUSE,1386.0
Bridgeport                              ,VACANT LAND,0.0
Brighton Park                           ,2-6 UNIT,1926.0
Brighton Park                           ,7+ UNIT,0.0
Brighton Park                           ,COMM/IND,0.0
Brighton Park                           ,CONDO,0.0
Brighton Park                           ,NON PROFIT,0.0
Brighton Park                           ,SINGLE FAMILY,1040.0
Brighton Park                           ,TOWN HOUSE,1747.0
Brighton Park                           ,VACANT LAND,0.0
Burnside                                ,2-6 UNIT,1848.0
Burnside                                ,7+ UNIT,0.0
Burnside                                ,COMM/IND,0.0
Burnside                                ,SINGLE FAMILY,1040.0
Burnside                                ,TOWN HOUSE,1392.0
Burnside                                ,VACANT LAND,0.0
Calumet Heights                         ,2-6 UNIT,2473.5
Calumet Heights                         ,7+ UNIT,0.0
Calumet Heights                         ,COMM/IND,0.0
Calumet Heights                         ,CONDO,0.0
Calumet Heights                         ,NON PROFIT,0.0
Calumet Heights                         ,SINGLE FAMILY,1188.0
Calumet Heights                         ,TOWN HOUSE,1388.0
Calumet Heights                         ,VACANT LAND,0.0
Chatham                                 ,2-6 UNIT,3048.0
Chatham                                 ,7+ UNIT,0.0
Chatham                                 ,COMM/IND,0.0
Chatham                                 ,CONDO,0.0
Chatham                                 ,SINGLE FAMILY,1128.0
Chatham                                 ,TOWN HOUSE,1210.0
Chatham                                 ,VACANT LAND,0.0
Chicago Lawn                            ,2-6 UNIT,2509.0
Chicago Lawn                            ,7+ UNIT,0.0
Chicago Lawn                            ,COMM/IND,0.0
Chicago Lawn                            ,CONDO,0.0
Chicago Lawn                            ,SINGLE FAMILY,1116.0
Chicago Lawn                            ,TOWN HOUSE,993.5
Chicago Lawn                            ,VACANT LAND,0.0
Clearing                                ,2-6 UNIT,2515.0
Clearing                                ,7+ UNIT,0.0
Clearing                                ,COMM/IND,0.0
Clearing                                ,CONDO,0.0
Clearing                                ,NON PROFIT,0.0
Clearing                                ,SINGLE FAMILY,1073.0
Clearing                                ,TOWN HOUSE,1761.0
Clearing                                ,VACANT LAND,0.0
Douglas                                 ,2-6 UNIT,2800.0
Douglas                                 ,7+ UNIT,0.0
Douglas                                 ,COMM/IND,0.0
Douglas                                 ,CONDO,0.0
Douglas                                 ,SINGLE FAMILY,1862.0
Douglas                                 ,TOWN HOUSE,1707.0
Douglas                                 ,VACANT LAND,0.0
Dunning                                 ,2-6 UNIT,2572.0
Dunning                                 ,7+ UNIT,0.0
Dunning                                 ,COMM/IND,0.0
Dunning                                 ,CONDO,0.0
Dunning                                 ,NON PROFIT,0.0
Dunning                                 ,SINGLE FAMILY,1179.0
Dunning                                 ,TOWN HOUSE,1171.0
Dunning                                 ,VACANT LAND,0.0
East Garfield                           ,2-6 UNIT,2520.0
East Garfield                           ,7+ UNIT,0.0
East Garfield                           ,COMM/IND,0.0
East Garfield                           ,CONDO,0.0
East Garfield                           ,SINGLE FAMILY,1591.0
East Garfield                           ,TOWN HOUSE,1260.0
East Garfield                           ,VACANT LAND,0.0
