CA_name,PTYPE2011,land_assmt_11_psf
                                        ,2-6 UNIT,1.3997441637352095
                                        ,7+ UNIT,0.8074463529017448
                                        ,COMM/IND,0.19123067349576373
                                        ,CONDO,0.010239827539746699
                                        ,NON PROFIT,
                                        ,SINGLE FAMILY,0.27497978089846337
                                        ,TOWN HOUSE,0.5499665259205806
                                        ,VACANT LAND,0.44993788819875774
Albany Park                             ,2-6 UNIT,1.6
Albany Park                             ,7+ UNIT,1.5749446743322801
Albany Park                             ,COMM/IND,3.93728
Albany Park                             ,CONDO,0.09596977329974811
Albany Park                             ,NON PROFIT,3.9374294953748965
Albany Park                             ,SINGLE FAMILY,1.5998209489704567
Albany Park                             ,TOWN HOUSE,1.5997357992073977
Albany Park                             ,VACANT LAND,1.5
Archer Heights                          ,2-6 UNIT,1.1
Archer Heights                          ,7+ UNIT,0.8249875621890548
Archer Heights                          ,COMM/IND,2.0624
Archer Heights                          ,CONDO,0.03780571428571428
Archer Heights                          ,NON PROFIT,3.24992
Archer Heights                          ,SINGLE FAMILY,1.1
Archer Heights                          ,VACANT LAND,1.0999166453684868
Armour Square                           ,2-6 UNIT,5.0
Armour Square                           ,7+ UNIT,2.5
Armour Square                           ,COMM/IND,2.5
Armour Square                           ,CONDO,0.07520924729313588
Armour Square                           ,NON PROFIT,2.5
Armour Square                           ,SINGLE FAMILY,5.0
Armour Square                           ,TOWN HOUSE,5.0
Armour Square                           ,VACANT LAND,5.0
Ashburn                                 ,2-6 UNIT,0.85
Ashburn                                 ,7+ UNIT,0.8249887774951369
Ashburn                                 ,COMM/IND,2.062443329205501
Ashburn                                 ,CONDO,0.04996031746031746
Ashburn                                 ,NON PROFIT,0.5
Ashburn                                 ,SINGLE FAMILY,0.849912739965096
Ashburn                                 ,TOWN HOUSE,0.8499903586579252
Ashburn                                 ,VACANT LAND,0.8498850574712644
Auburn Gresham                          ,2-6 UNIT,0.799845141308556
Auburn Gresham                          ,7+ UNIT,0.8249147699757869
Auburn Gresham                          ,COMM/IND,2.062222222222222
Auburn Gresham                          ,CONDO,0.02591994174271215
Auburn Gresham                          ,NON PROFIT,1.1562184204284924
Auburn Gresham                          ,SINGLE FAMILY,0.8
Auburn Gresham                          ,TOWN HOUSE,0.799767846778874
Auburn Gresham                          ,VACANT LAND,0.8
Austin                                  ,2-6 UNIT,1.1498063891577928
Austin                                  ,7+ UNIT,0.8249120562839782
Austin                                  ,COMM/IND,1.624951317668441
Austin                                  ,CONDO,0.048505331302361
Austin                                  ,NON PROFIT,0.6393375904761882
Austin                                  ,SINGLE FAMILY,1.15
Austin                                  ,TOWN HOUSE,1.4995773457311918
Austin                                  ,VACANT LAND,1.05
Avalon Park                             ,2-6 UNIT,0.9
Avalon Park                             ,7+ UNIT,0.749960210090721
Avalon Park                             ,COMM/IND,1.874821610601427
Avalon Park                             ,CONDO,0.10299531459170014
Avalon Park                             ,SINGLE FAMILY,0.9
Avalon Park                             ,TOWN HOUSE,0.8997875354107648
Avalon Park                             ,VACANT LAND,1.1999479217773854
Avondale                                ,2-6 UNIT,1.6
Avondale                                ,7+ UNIT,1.5749218559218559
Avondale                                ,COMM/IND,3.1874666666666664
Avondale                                ,CONDO,0.08200499327827925
Avondale                                ,NON PROFIT,0.14285714285714285
Avondale                                ,SINGLE FAMILY,1.6
Avondale                                ,TOWN HOUSE,2.399395617273992
Avondale                                ,VACANT LAND,2.699545749513303
Belmont Cragin                          ,2-6 UNIT,1.4
Belmont Cragin                          ,7+ UNIT,1.5749206349206348
Belmont Cragin                          ,COMM/IND,3.93728
Belmont Cragin                          ,CONDO,0.11489293704058805
Belmont Cragin                          ,NON PROFIT,3.9373902867173785
Belmont Cragin                          ,SINGLE FAMILY,1.4
Belmont Cragin                          ,TOWN HOUSE,1.3996458087367178
Belmont Cragin                          ,VACANT LAND,1.4
Beverly                                 ,2-6 UNIT,1.0997862545965527
Beverly                                 ,7+ UNIT,0.8249745108510949
Beverly                                 ,COMM/IND,3.249719626168224
Beverly                                 ,CONDO,0.07535449020931803
Beverly                                 ,NON PROFIT,0.5
Beverly                                 ,SINGLE FAMILY,1.0998922579652146
Beverly                                 ,TOWN HOUSE,0.8
Beverly                                 ,VACANT LAND,0.9241990846681922
Bridgeport                              ,2-6 UNIT,2.5
Bridgeport                              ,7+ UNIT,1.1999327956989247
Bridgeport                              ,COMM/IND,2.499952421733752
Bridgeport                              ,CONDO,0.03130975855776731
Bridgeport                              ,NON PROFIT,1.125
Bridgeport                              ,SINGLE FAMILY,2.5
Bridgeport                              ,TOWN HOUSE,2.5
Bridgeport                              ,VACANT LAND,2.5
Brighton Park                           ,2-6 UNIT,1.1
Brighton Park                           ,7+ UNIT,1.2999249494315408
Brighton Park                           ,COMM/IND,1.874994772536302
Brighton Park                           ,CONDO,0.2418278852568379
Brighton Park                           ,NON PROFIT,3.2497777777777777
Brighton Park                           ,SINGLE FAMILY,1.1
Brighton Park                           ,TOWN HOUSE,1.4996621607740352
Brighton Park                           ,VACANT LAND,1.2999299229152068
Burnside                                ,2-6 UNIT,0.8
Burnside                                ,7+ UNIT,0.45
Burnside                                ,COMM/IND,0.5625
Burnside                                ,SINGLE FAMILY,0.8
Burnside                                ,TOWN HOUSE,0.8
Burnside                                ,VACANT LAND,0.8248387096774193
Calumet Heights                         ,2-6 UNIT,0.8998857142857143
Calumet Heights                         ,7+ UNIT,0.7497998203976908
Calumet Heights                         ,COMM/IND,1.8747692307692307
Calumet Heights                         ,CONDO,0.12356164383561644
Calumet Heights                         ,NON PROFIT,1.87488
Calumet Heights                         ,SINGLE FAMILY,0.8
Calumet Heights                         ,TOWN HOUSE,0.8499159663865546
Calumet Heights                         ,VACANT LAND,0.82496
Chatham                                 ,2-6 UNIT,1.0
Chatham                                 ,7+ UNIT,0.7499627143922446
Chatham                                 ,COMM/IND,1.87488
Chatham                                 ,CONDO,0.05174164720219356
Chatham                                 ,SINGLE FAMILY,0.8
Chatham                                 ,TOWN HOUSE,0.8991494532199271
Chatham                                 ,VACANT LAND,1.0
Chicago Lawn                            ,2-6 UNIT,0.85
Chicago Lawn                            ,7+ UNIT,0.8249466663632755
Chicago Lawn                            ,COMM/IND,2.0625
Chicago Lawn                            ,CONDO,0.06154256027707473
Chicago Lawn                            ,SINGLE FAMILY,0.85
Chicago Lawn                            ,TOWN HOUSE,0.8498412698412698
Chicago Lawn                            ,VACANT LAND,0.8499205087440381
Clearing                                ,2-6 UNIT,1.1
Clearing                                ,7+ UNIT,0.825
Clearing                                ,COMM/IND,3.2497872340425533
Clearing                                ,CONDO,0.09022222222222222
Clearing                                ,NON PROFIT,3.249846153846154
Clearing                                ,SINGLE FAMILY,1.1
Clearing                                ,TOWN HOUSE,1.0995931971689168
Clearing                                ,VACANT LAND,1.099975051851351
Douglas                                 ,2-6 UNIT,2.5
Douglas                                 ,7+ UNIT,1.199991680013312
Douglas                                 ,COMM/IND,2.5
Douglas                                 ,CONDO,0.006269875587715313
Douglas                                 ,SINGLE FAMILY,2.5
Douglas                                 ,TOWN HOUSE,3.0
Douglas                                 ,VACANT LAND,3.0
Dunning                                 ,2-6 UNIT,1.4
Dunning                                 ,7+ UNIT,1.5748969562139752
Dunning                                 ,COMM/IND,3.9373228346456695
Dunning                                 ,CONDO,0.03925456694177762
Dunning                                 ,NON PROFIT,3.9373970428015563
Dunning                                 ,SINGLE FAMILY,1.4
Dunning                                 ,TOWN HOUSE,1.4
Dunning                                 ,VACANT LAND,1.4
East Garfield                           ,2-6 UNIT,1.4
East Garfield                           ,7+ UNIT,0.8248315688161694
East Garfield                           ,COMM/IND,1.3747967479674796
East Garfield                           ,CONDO,0.3724316453648277
East Garfield                           ,SINGLE FAMILY,1.4
East Garfield                           ,TOWN HOUSE,2.099498990691232
East Garfield                           ,VACANT LAND,1.4
East Side                               ,2-6 UNIT,0.7
East Side                               ,7+ UNIT,0.7498360655737705
East Side                               ,COMM/IND,1.125
East Side                               ,SINGLE FAMILY,0.6999568593615185
East Side                               ,TOWN HOUSE,0.6998884343622165
East Side                               ,VACANT LAND,0.7997721446881231
Edgewater                               ,2-6 UNIT,3.0
Edgewater                               ,7+ UNIT,2.7
Edgewater                               ,COMM/IND,6.75
Edgewater                               ,CONDO,0.0165380493639114
Edgewater                               ,NON PROFIT,7.312492964552207
Edgewater                               ,SINGLE FAMILY,3.0
Edgewater                               ,TOWN HOUSE,4.399556048834628
Edgewater                               ,VACANT LAND,3.0
Edison Park                             ,2-6 UNIT,1.4
Edison Park                             ,7+ UNIT,1.574927113702624
Edison Park                             ,COMM/IND,3.937333333333333
Edison Park                             ,CONDO,0.0776192931202383
Edison Park                             ,SINGLE FAMILY,1.4
Edison Park                             ,TOWN HOUSE,1.3997296079315007
Edison Park                             ,VACANT LAND,1.4
Englewood                               ,2-6 UNIT,0.75
Englewood                               ,7+ UNIT,0.5749534142628394
Englewood                               ,COMM/IND,1.4372294372294372
Englewood                               ,CONDO,0.06668889629876626
Englewood                               ,SINGLE FAMILY,0.74976
Englewood                               ,TOWN HOUSE,0.7497129735935706
Englewood                               ,VACANT LAND,0.74976
Forest Glen                             ,2-6 UNIT,1.5999000999000998
Forest Glen                             ,7+ UNIT,1.5749221183800624
Forest Glen                             ,COMM/IND,3.937333333333333
Forest Glen                             ,CONDO,0.02945270169508376
Forest Glen                             ,NON PROFIT,3.9374358974358974
Forest Glen                             ,SINGLE FAMILY,1.4
Forest Glen                             ,TOWN HOUSE,1.5998383185125302
Forest Glen                             ,VACANT LAND,1.5454545454545454
Fuller Park                             ,2-6 UNIT,0.8497391304347827
Fuller Park                             ,7+ UNIT,0.824873949579832
Fuller Park                             ,COMM/IND,0.875
Fuller Park                             ,CONDO,0.2688934436604145
Fuller Park                             ,SINGLE FAMILY,0.7
Fuller Park                             ,TOWN HOUSE,0.8498480243161094
Fuller Park                             ,VACANT LAND,0.75
Gage Park                               ,2-6 UNIT,0.9
Gage Park                               ,7+ UNIT,0.82496
