CA_name,YYYYQ_DOC,YYYYQ_DOC
Albany Park           ,20051,252
Albany Park           ,20052,293
Albany Park           ,20053,284
Albany Park           ,20054,289
Albany Park           ,20061,201
Albany Park           ,20062,245
Albany Park           ,20063,261
Albany Park           ,20064,215
Albany Park           ,20071,223
Albany Park           ,20072,209
Albany Park           ,20073,165
Albany Park           ,20074,168
Albany Park           ,20081,200
Albany Park           ,20082,143
Albany Park           ,20083,86
Albany Park           ,20084,87
Albany Park           ,20091,146
Albany Park           ,20092,187
Albany Park           ,20093,110
Albany Park           ,20094,106
Albany Park           ,20101,86
Albany Park           ,20102,95
Albany Park           ,20103,137
Albany Park           ,20104,146
Albany Park           ,20111,74
Albany Park           ,20112,68
Albany Park           ,20113,83
Albany Park           ,20114,126
Albany Park           ,20121,110
Albany Park           ,20122,121
Albany Park           ,20123,127
Albany Park           ,20124,130
Archer Heights        ,20051,128
Archer Heights        ,20052,156
Archer Heights        ,20053,166
Archer Heights        ,20054,131
Archer Heights        ,20061,115
Archer Heights        ,20062,135
Archer Heights        ,20063,109
Archer Heights        ,20064,87
Archer Heights        ,20071,85
Archer Heights        ,20072,95
Archer Heights        ,20073,82
Archer Heights        ,20074,60
Archer Heights        ,20081,70
Archer Heights        ,20082,56
Archer Heights        ,20083,35
Archer Heights        ,20084,39
Archer Heights        ,20091,31
Archer Heights        ,20092,45
Archer Heights        ,20093,28
Archer Heights        ,20094,39
Archer Heights        ,20101,27
Archer Heights        ,20102,31
Archer Heights        ,20103,29
Archer Heights        ,20104,37
Archer Heights        ,20111,31
Archer Heights        ,20112,28
Archer Heights        ,20113,21
Archer Heights        ,20114,30
Archer Heights        ,20121,40
Archer Heights        ,20122,43
Archer Heights        ,20123,33
Archer Heights        ,20124,40
Armour Square         ,20051,29
Armour Square         ,20052,39
Armour Square         ,20053,27
Armour Square         ,20054,20
Armour Square         ,20061,26
Armour Square         ,20062,20
Armour Square         ,20063,19
Armour Square         ,20064,39
Armour Square         ,20071,47
Armour Square         ,20072,33
Armour Square         ,20073,31
Armour Square         ,20074,22
Armour Square         ,20081,35
Armour Square         ,20082,24
Armour Square         ,20083,20
Armour Square         ,20084,8
Armour Square         ,20091,27
Armour Square         ,20092,15
Armour Square         ,20093,24
Armour Square         ,20094,18
Armour Square         ,20101,16
Armour Square         ,20102,22
Armour Square         ,20103,19
Armour Square         ,20104,29
Armour Square         ,20111,11
Armour Square         ,20112,16
Armour Square         ,20113,18
Armour Square         ,20114,18
Armour Square         ,20121,11
Armour Square         ,20122,18
Armour Square         ,20123,15
Armour Square         ,20124,23
Ashburn               ,20051,922
Ashburn               ,20052,1152
Ashburn               ,20053,1200
Ashburn               ,20054,1226
Ashburn               ,20061,913
Ashburn               ,20062,1018
Ashburn               ,20063,1078
Ashburn               ,20064,771
Ashburn               ,20071,828
Ashburn               ,20072,897
Ashburn               ,20073,705
Ashburn               ,20074,573
Ashburn               ,20081,482
Ashburn               ,20082,424
Ashburn               ,20083,287
Ashburn               ,20084,244
Ashburn               ,20091,308
Ashburn               ,20092,298
Ashburn               ,20093,280
Ashburn               ,20094,289
Ashburn               ,20101,179
Ashburn               ,20102,232
Ashburn               ,20103,193
Ashburn               ,20104,275
Ashburn               ,20111,198
Ashburn               ,20112,171
Ashburn               ,20113,196
Ashburn               ,20114,193
Ashburn               ,20121,192
Ashburn               ,20122,259
Ashburn               ,20123,305
Ashburn               ,20124,304
Auburn Gresham        ,20051,498
Auburn Gresham        ,20052,735
Auburn Gresham        ,20053,640
Auburn Gresham        ,20054,629
Auburn Gresham        ,20061,539
