CA_name,YYYYQ_DOC,Mort_Amt
Albany Park           ,20051,215500.0
Albany Park           ,20052,221000.0
Albany Park           ,20053,195500.0
Albany Park           ,20054,200000.0
Albany Park           ,20061,214000.0
Albany Park           ,20062,204000.0
Albany Park           ,20063,200000.0
Albany Park           ,20064,225000.0
Albany Park           ,20071,210000.0
Albany Park           ,20072,200000.0
Albany Park           ,20073,200000.0
Albany Park           ,20074,211730.0
Albany Park           ,20081,243500.0
Albany Park           ,20082,228000.0
Albany Park           ,20083,240500.0
Albany Park           ,20084,243750.0
Albany Park           ,20091,280000.0
Albany Park           ,20092,234696.0
Albany Park           ,20093,202893.5
Albany Park           ,20094,224075.0
Albany Park           ,20101,237400.0
Albany Park           ,20102,216000.0
Albany Park           ,20103,230000.0
Albany Park           ,20104,257048.5
Albany Park           ,20111,222123.0
Albany Park           ,20112,198348.5
Albany Park           ,20113,221198.0
Albany Park           ,20114,202225.0
Albany Park           ,20121,207093.5
Albany Park           ,20122,232000.0
Albany Park           ,20123,248000.0
Albany Park           ,20124,208647.5
Archer Heights        ,20051,152450.0
Archer Heights        ,20052,165300.0
Archer Heights        ,20053,180000.0
Archer Heights        ,20054,149500.0
Archer Heights        ,20061,158000.0
Archer Heights        ,20062,170000.0
Archer Heights        ,20063,108000.0
Archer Heights        ,20064,120000.0
Archer Heights        ,20071,193700.0
Archer Heights        ,20072,155000.0
Archer Heights        ,20073,156250.0
Archer Heights        ,20074,184500.0
Archer Heights        ,20081,159000.0
Archer Heights        ,20082,161631.55
Archer Heights        ,20083,169400.0
Archer Heights        ,20084,160000.0
Archer Heights        ,20091,117826.0
Archer Heights        ,20092,124500.0
Archer Heights        ,20093,143300.0
Archer Heights        ,20094,156084.0
Archer Heights        ,20101,153693.0
Archer Heights        ,20102,133600.0
Archer Heights        ,20103,128272.0
Archer Heights        ,20104,126606.0
Archer Heights        ,20111,114000.0
Archer Heights        ,20112,112300.0
Archer Heights        ,20113,100000.0
Archer Heights        ,20114,126458.0
Archer Heights        ,20121,122367.5
Archer Heights        ,20122,115506.0
Archer Heights        ,20123,126577.0
Archer Heights        ,20124,121367.5
Armour Square         ,20051,200000.0
Armour Square         ,20052,137750.0
